Smiles	Token
[O][=C][N][=C][N][N][=C][Branch1][=C][S][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][C][=C][C][Ring1][#C][=C][Ring2][Ring1][Ring1][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl]	[O] [=C] [N] [=C] [N] [N] [=C] [Branch1] [=C] [S] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [Ring1] [#Branch1] [F] [C] [=C] [C] [Ring1] [#C] [=C] [Ring2] [Ring1] [Ring1] [C] [=C] [Branch1] [C] [Cl] [C] [=C] [C] [=C] [Ring1] [#Branch1] [Cl]
[C][O][C][=C][C][=C][Branch2][Ring2][Ring1][C][N][C][=Branch1][C][=O][C][C][=C][Branch2][Ring1][Ring1][C][NH1][N][=C][C][=Ring1][Branch1][C][=C][C][=C][C][Branch1][C][Cl][=C][Ring1][#Branch1][C][=N][Ring1][P][C][=C][Ring2][Ring1][O]	[C] [O] [C] [=C] [C] [=C] [Branch2] [Ring2] [Ring1] [C] [N] [C] [=Branch1] [C] [=O] [C] [C] [=C] [Branch2] [Ring1] [Ring1] [C] [NH1] [N] [=C] [C] [=Ring1] [Branch1] [C] [=C] [C] [=C] [C] [Branch1] [C] [Cl] [=C] [Ring1] [#Branch1] [C] [=N] [Ring1] [P] [C] [=C] [Ring2] [Ring1] [O]
[C][O][C][=C][C][Branch2][Ring2][#Branch2][N][C][=Branch1][C][=O][C][=C][C][=C][C][Branch2][Ring1][=Branch2][N][N][=C][C][=C][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][C][=C][Ring1][=N][Ring1][S][=C][Ring2][Ring1][=Branch1][=C][C][Branch1][Ring1][O][C][=C][Ring2][Ring1][P][O][C]	[C] [O] [C] [=C] [C] [Branch2] [Ring2] [#Branch2] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [C] [Branch2] [Ring1] [=Branch2] [N] [N] [=C] [C] [=C] [C] [Branch1] [#Branch2] [N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [=C] [C] [=C] [Ring1] [=N] [Ring1] [S] [=C] [Ring2] [Ring1] [=Branch1] [=C] [C] [Branch1] [Ring1] [O] [C] [=C] [Ring2] [Ring1] [P] [O] [C]
[C][=C][C][=C][C][=C][Branch2][Ring1][P][C][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][N][Ring1][=Branch2][C][=C][C][=N][C][Branch1][#Branch2][N][C][C][C][O][C][C][Ring1][=Branch1][=N][Ring1][=N][C][=C][C][Ring2][Ring1][N][=C][Ring2][Ring1][S]	[C] [=C] [C] [=C] [C] [=C] [Branch2] [Ring1] [P] [C] [=N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [N] [Ring1] [=Branch2] [C] [=C] [C] [=N] [C] [Branch1] [#Branch2] [N] [C] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [=N] [Ring1] [=N] [C] [=C] [C] [Ring2] [Ring1] [N] [=C] [Ring2] [Ring1] [S]
[O][=C][Branch2][Ring1][#Branch2][C][=C][C][=C][Branch1][S][C][=C][C][NH1][N][=C][C][=C][C][=C][C][=Ring1][=Branch2][Ring1][=Branch1][C][=C][Ring1][P][N][C][C][N][C][C][Ring1][=Branch1]	[O] [=C] [Branch2] [Ring1] [#Branch2] [C] [=C] [C] [=C] [Branch1] [S] [C] [=C] [C] [NH1] [N] [=C] [C] [=C] [C] [=C] [C] [=Ring1] [=Branch2] [Ring1] [=Branch1] [C] [=C] [Ring1] [P] [N] [C] [C] [N] [C] [C] [Ring1] [=Branch1]
[C][O][C][=C][C][Branch2][Ring1][O][C][=C][C][=Branch1][C][=O][N][N][Branch1][=N][C][=C][C][=C][Branch1][Ring1][C][#N][C][=C][Ring1][Branch2][C][Ring1][=C][=O][=C][C][=C][Ring2][Ring1][=Branch1][O]	[C] [O] [C] [=C] [C] [Branch2] [Ring1] [O] [C] [=C] [C] [=Branch1] [C] [=O] [N] [N] [Branch1] [=N] [C] [=C] [C] [=C] [Branch1] [Ring1] [C] [#N] [C] [=C] [Ring1] [Branch2] [C] [Ring1] [=C] [=O] [=C] [C] [=C] [Ring2] [Ring1] [=Branch1] [O]
[C][O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][=C][C][Branch1][=Branch2][C][=C][C][=C][C][=C][Ring1][=Branch1][=N][NH1][C][Ring1][O][=C][Ring1][#C]	[C] [O] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [N] [C] [=C] [C] [=C] [C] [Branch1] [=Branch2] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [=N] [NH1] [C] [Ring1] [O] [=C] [Ring1] [#C]
[F][C][=C][N][=C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][C][=C][N][Branch1][O][C][C][N][C][C][O][C][C][Ring1][=Branch1][N][=Ring1][=N]	[F] [C] [=C] [N] [=C] [Branch2] [Ring1] [Ring2] [N] [C] [=C] [C] [=C] [Branch1] [=Branch2] [N] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [C] [=C] [Ring1] [N] [C] [=C] [Ring2] [Ring1] [Ring1] [C] [C] [=C] [N] [Branch1] [O] [C] [C] [N] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [N] [=Ring1] [=N]
[O][=C][Branch2][Ring1][Ring1][C][N][C][=Branch1][C][=O][C][C][C][=N][C][=C][C][=C][Ring1][=Branch1][Ring1][O][N][C][S][C][=C][Branch1][C][Br][C][=Ring1][=Branch1][C][=N][C][=N][NH1][Ring1][Branch1]	[O] [=C] [Branch2] [Ring1] [Ring1] [C] [N] [C] [=Branch1] [C] [=O] [C] [C] [C] [=N] [C] [=C] [C] [=C] [Ring1] [=Branch1] [Ring1] [O] [N] [C] [S] [C] [=C] [Branch1] [C] [Br] [C] [=Ring1] [=Branch1] [C] [=N] [C] [=N] [NH1] [Ring1] [Branch1]
[C][C][O][C][=C][C][=N][C][=C][Branch1][Ring1][C][#N][C][Branch2][Ring1][=Branch2][N][C][=C][C][=C][Branch1][O][O][C][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Branch1][C][Cl][=C][Ring1][#C][=C][Ring2][Ring1][Branch2][C][=C][Ring2][Ring1][N][N][C][=Branch1][C][=O][C][=C][C][N][Branch1][C][C][C]	[C] [C] [O] [C] [=C] [C] [=N] [C] [=C] [Branch1] [Ring1] [C] [#N] [C] [Branch2] [Ring1] [=Branch2] [N] [C] [=C] [C] [=C] [Branch1] [O] [O] [C] [C] [=C] [C] [=C] [C] [=N] [Ring1] [=Branch1] [C] [Branch1] [C] [Cl] [=C] [Ring1] [#C] [=C] [Ring2] [Ring1] [Branch2] [C] [=C] [Ring2] [Ring1] [N] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [N] [Branch1] [C] [C] [C]
[C][C][=C][C][Branch1][C][C][=C][Branch2][Ring1][C][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][NH1][Ring1][P]	[C] [C] [=C] [C] [Branch1] [C] [C] [=C] [Branch2] [Ring1] [C] [C] [=C] [C] [=Branch1] [C] [=O] [N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [Ring1] [#Branch2] [NH1] [Ring1] [P]
[C][N][C][=Branch1][C][=O][C][Branch1][=C][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][F][=C][C][=C][N][=C][Branch1][#Branch2][N][C][C][C][O][C][C][Ring1][=Branch1][N][=C][Ring1][=N][Ring2][Ring1][O]	[C] [N] [C] [=Branch1] [C] [=O] [C] [Branch1] [=C] [O] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [Ring1] [#Branch1] [F] [=C] [C] [=C] [N] [=C] [Branch1] [#Branch2] [N] [C] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [N] [=C] [Ring1] [=N] [Ring2] [Ring1] [O]
[O][=C][Branch1][=Branch1][C][C][C][Ring1][Ring1][N][C][C][C][C][Branch2][Ring2][Branch2][N][C][=C][C][Branch2][Ring1][O][N][C][Branch1][N][C][=C][C][=C][C][Branch1][C][O][=C][Ring1][#Branch1][=N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][S][=C][C][=N][Ring2][Ring1][=Branch1][C][Ring2][Ring1][=N]	[O] [=C] [Branch1] [=Branch1] [C] [C] [C] [Ring1] [Ring1] [N] [C] [C] [C] [C] [Branch2] [Ring2] [Branch2] [N] [C] [=C] [C] [Branch2] [Ring1] [O] [N] [C] [Branch1] [N] [C] [=C] [C] [=C] [C] [Branch1] [C] [O] [=C] [Ring1] [#Branch1] [=N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [Ring1] [S] [=C] [C] [=N] [Ring2] [Ring1] [=Branch1] [C] [Ring2] [Ring1] [=N]
[C][O][C][=C][C][=C][Branch2][Ring1][S][O][C][=C][C][Branch1][P][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=N][C][=N][NH1][Ring1][Branch1][=C][Branch1][C][Cl][C][=N][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch2]	[C] [O] [C] [=C] [C] [=C] [Branch2] [Ring1] [S] [O] [C] [=C] [C] [Branch1] [P] [N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [=N] [C] [=N] [NH1] [Ring1] [Branch1] [=C] [Branch1] [C] [Cl] [C] [=N] [Ring2] [Ring1] [Ring1] [C] [=C] [Ring2] [Ring1] [#Branch2]
[C][N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][S][C][=C][C][=C][C][Branch1][O][C][=C][C][=C][C][=C][C][=N][Ring1][=Branch1][=N][NH1][C][Ring1][=N][=C][Ring1][P]	[C] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [S] [C] [=C] [C] [=C] [C] [Branch1] [O] [C] [=C] [C] [=C] [C] [=C] [C] [=N] [Ring1] [=Branch1] [=N] [NH1] [C] [Ring1] [=N] [=C] [Ring1] [P]
[C][O][C][=C][C][=C][Branch2][Ring1][=N][O][C][=C][C][Branch1][#C][N][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Branch1][C][N][=O][=C][Branch1][C][F][C][=N][Ring1][P][C][=C][Ring2][Ring1][Branch2]	[C] [O] [C] [=C] [C] [=C] [Branch2] [Ring1] [=N] [O] [C] [=C] [C] [Branch1] [#C] [N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [C] [Branch1] [C] [N] [=O] [=C] [Branch1] [C] [F] [C] [=N] [Ring1] [P] [C] [=C] [Ring2] [Ring1] [Branch2]
[C][=C][C][=C][C][=C][Branch1][S][N][N][=N][C][=C][Ring1][Branch1][C][=C][C][=N][C][=C][Ring1][=Branch1][C][=C][C][Ring1][P][=C][Ring2][Ring1][Branch1]	[C] [=C] [C] [=C] [C] [=C] [Branch1] [S] [N] [N] [=N] [C] [=C] [Ring1] [Branch1] [C] [=C] [C] [=N] [C] [=C] [Ring1] [=Branch1] [C] [=C] [C] [Ring1] [P] [=C] [Ring2] [Ring1] [Branch1]
[C][C][Branch1][C][C][N][Branch2][Ring1][Branch1][C][C][C][=Branch1][C][=O][C][=C][C][=C][C][=C][C][=C][C][Ring1][=Branch1][=C][Ring1][#Branch2][C][C][=C][C][=C][C][=C][Ring1][=Branch1]	[C] [C] [Branch1] [C] [C] [N] [Branch2] [Ring1] [Branch1] [C] [C] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [C] [=C] [C] [=C] [C] [Ring1] [=Branch1] [=C] [Ring1] [#Branch2] [C] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1]
[N][C][=Branch1][C][=O][C][=C][C][=C][C][=C][Ring1][=Branch1][N][C][=C][C][Branch1][=N][O][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1][=N][C][=C][Ring1][=C][C][Branch1][C][F][Branch1][C][F][F]	[N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [N] [C] [=C] [C] [Branch1] [=N] [O] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [Ring1] [#Branch1] [=N] [C] [=C] [Ring1] [=C] [C] [Branch1] [C] [F] [Branch1] [C] [F] [F]
[O][C][=N][N][=C][Branch2][Ring1][Ring2][C][=C][C][=N][C][Branch1][#Branch2][N][C][C][C][O][C][C][Ring1][=Branch1][=C][Ring1][=N][N][Ring2][Ring1][C][C][=C][C][=C][C][=C][C][=C][Branch1][C][F][C][Ring1][#Branch1][=C][Ring1][O]	[O] [C] [=N] [N] [=C] [Branch2] [Ring1] [Ring2] [C] [=C] [C] [=N] [C] [Branch1] [#Branch2] [N] [C] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [=C] [Ring1] [=N] [N] [Ring2] [Ring1] [C] [C] [=C] [C] [=C] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [Ring1] [#Branch1] [=C] [Ring1] [O]
[C][=C][C][N][C][C][N][Branch2][Ring1][O][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][S][C][Branch1][C][C][=N][Ring1][=Branch1][C][C][Ring2][Ring1][=Branch1]	[C] [=C] [C] [N] [C] [C] [N] [Branch2] [Ring1] [O] [C] [=C] [Branch1] [C] [Cl] [C] [=C] [C] [=C] [Ring1] [#Branch1] [N] [C] [=Branch1] [C] [=O] [C] [=C] [S] [C] [Branch1] [C] [C] [=N] [Ring1] [=Branch1] [C] [C] [Ring2] [Ring1] [=Branch1]
[C][N][C][O][N][=C][Branch2][Ring1][S][C][=C][C][=N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][N][C][C][O][C][C][Ring1][=Branch1][C][=C][Ring1][N][=C][Ring2][Ring1][Ring1][C][=Ring2][Ring1][Branch2][C][=C][C][=C][Branch1][C][F][C][=C][Ring1][#Branch1]	[C] [N] [C] [O] [N] [=C] [Branch2] [Ring1] [S] [C] [=C] [C] [=N] [C] [Branch2] [Ring1] [Ring2] [N] [C] [=C] [C] [=C] [Branch1] [=Branch2] [N] [C] [C] [O] [C] [C] [Ring1] [=Branch1] [C] [=C] [Ring1] [N] [=C] [Ring2] [Ring1] [Ring1] [C] [=Ring2] [Ring1] [Branch2] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [Ring1] [#Branch1]
[N][#C][C][=C][Branch2][Ring1][#Branch1][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][F][C][=C][C][=C][C][=C][Ring1][O][Ring1][=Branch1][S][C][=C][Ring2][Ring1][Ring1][C][C][C][C][Ring1][=Branch1]	[N] [#C] [C] [=C] [Branch2] [Ring1] [#Branch1] [N] [C] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [Branch1] [C] [F] [C] [=C] [C] [=C] [C] [=C] [Ring1] [O] [Ring1] [=Branch1] [S] [C] [=C] [Ring2] [Ring1] [Ring1] [C] [C] [C] [C] [Ring1] [=Branch1]
[O][=C][Branch2][Ring1][P][N][C][=C][C][Branch2][Ring1][Ring2][C][=C][C][=N][C][Branch1][#Branch2][N][C][=C][C][=C][C][=C][Ring1][=Branch1][=C][Ring1][=N][=C][C][=N][Ring2][Ring1][Ring1][C][=C][C][=C][O][Ring1][Branch1]	[O] [=C] [Branch2] [Ring1] [P] [N] [C] [=C] [C] [Branch2] [Ring1] [Ring2] [C] [=C] [C] [=N] [C] [Branch1] [#Branch2] [N] [C] [=C] [C] [=C] [C] [=C] [Ring1] [=Branch1] [=C] [Ring1] [=N] [=C] [C] [=N] [Ring2] [Ring1] [Ring1] [C] [=C] [C] [=C] [O] [Ring1] [Branch1]
[C][C][Branch1][C][C][Branch1][C][C][N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][#Branch2][C][=C][N][=C][C][=C][C][=C][Branch1][#Branch2][N][C][=C][C][=C][C][=N][Ring1][=Branch1][C][Ring1][=N][=C][Ring1][P][C][=C][Ring2][Ring1][#Branch1]	[C] [C] [Branch1] [C] [C] [Branch1] [C] [C] [N] [S] [=Branch1] [C] [=O] [=Branch1] [C] [=O] [C] [=C] [C] [=C] [Branch2] [Ring1] [#Branch2] [C] [=C] [N] [=C] [C] [=C] [C] [=C] [Branch1] [#Branch2] [N] [C] [=C] [C] [=C] [C] [=N] [Ring1] [=Branch1] [C] [Ring1] [=N] [=C] [Ring1] [P] [C] [=C] [Ring2] [Ring1] [#Branch1]
